epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.0003,0,,,,
0,,350,,,0.47200000286102295,1.4538226127624512
0,,350,0.37793803215026855,1.7058302164077759,,
,0.0003,351,,,,
1,,701,,,0.5284000039100647,1.2959412336349487
1,,701,0.48902687430381775,1.4071210622787476,,
,0.0003,702,,,,
2,,1052,,,0.5831999778747559,1.162050724029541
2,,1052,0.5308271050453186,1.2980433702468872,,
,0.0003,1053,,,,
3,,1403,,,0.5843999981880188,1.1470037698745728
3,,1403,0.5623887181282043,1.2172621488571167,,
,0.0003,1404,,,,
4,,1754,,,0.6140000224113464,1.0973403453826904
4,,1754,0.5815304517745972,1.1584951877593994,,
,0.0003,1755,,,,
5,,2105,,,0.5985999703407288,1.0975967645645142
5,,2105,0.598179280757904,1.1245428323745728,,
,0.0003,2106,,,,
6,,2456,,,0.6254000067710876,1.0496734380722046
6,,2456,0.6116007566452026,1.0897939205169678,,
,0.0003,2457,,,,
7,,2807,,,0.6430000066757202,1.0114948749542236
7,,2807,0.6247551441192627,1.0495744943618774,,
,0.0003,2808,,,,
8,,3158,,,0.6381999850273132,1.0205497741699219
8,,3158,0.6373531222343445,1.019612431526184,,
,0.0003,3159,,,,
9,,3509,,,0.6571999788284302,0.967649519443512
9,,3509,0.6450320482254028,0.990794837474823,,
,0.0003,3510,,,,
10,,3860,,,0.6633999943733215,0.9377375841140747
10,,3860,0.6543580889701843,0.9671755433082581,,
,0.0003,3861,,,,
11,,4211,,,0.6672000288963318,0.9342187643051147
11,,4211,0.6640847325325012,0.9413819909095764,,
,0.0003,4212,,,,
12,,4562,,,0.682200014591217,0.915139377117157
12,,4562,0.674902081489563,0.916391909122467,,
,0.0003,4563,,,,
13,,4913,,,0.6711999773979187,0.9194629788398743
13,,4913,0.6798210740089417,0.9022900462150574,,
,0.0003,4914,,,,
14,,5264,,,0.6790000200271606,0.9012873768806458
14,,5264,0.6894364356994629,0.873196005821228,,
,0.0003,5265,,,,
15,,5615,,,0.6740000247955322,0.9204991459846497
15,,5615,0.6938434839248657,0.8548107743263245,,
,0.0003,5616,,,,
16,,5966,,,0.7013999819755554,0.868177056312561
16,,5966,0.6987179517745972,0.8420474529266357,,
,0.0003,5967,,,,
17,,6317,,,0.7049999833106995,0.8347841501235962
17,,6317,0.7076433300971985,0.8155617713928223,,
,0.0003,6318,,,,
18,,6668,,,0.694599986076355,0.8442950248718262
18,,6668,0.7182603478431702,0.796115517616272,,
,0.0003,6669,,,,
19,,7019,,,0.7057999968528748,0.8414912223815918
19,,7019,0.724425733089447,0.7715290784835815,,
