epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.0003,0,,,,
0,,350,,,0.47200000286102295,1.4538226127624512
0,,350,0.37793803215026855,1.7058302164077759,,
,0.0003,351,,,,
1,,701,,,0.5284000039100647,1.2959412336349487
1,,701,0.48902687430381775,1.4071210622787476,,
,0.0003,702,,,,
2,,1052,,,0.5831999778747559,1.162050724029541
2,,1052,0.5308271050453186,1.2980433702468872,,
,0.0003,1053,,,,
3,,1403,,,0.5843999981880188,1.1470037698745728
3,,1403,0.5623887181282043,1.2172621488571167,,
,0.0003,1404,,,,
4,,1754,,,0.6140000224113464,1.0973403453826904
4,,1754,0.5815304517745972,1.1584951877593994,,
,0.0003,1755,,,,
5,,2105,,,0.5985999703407288,1.0975967645645142
5,,2105,0.598179280757904,1.1245428323745728,,
,0.0003,2106,,,,
6,,2456,,,0.6254000067710876,1.0496734380722046
6,,2456,0.6116007566452026,1.0897939205169678,,
,0.0003,2457,,,,
7,,2807,,,0.6430000066757202,1.0114948749542236
7,,2807,0.6247551441192627,1.0495744943618774,,
,0.0003,2808,,,,
8,,3158,,,0.6381999850273132,1.0205497741699219
8,,3158,0.6373531222343445,1.019612431526184,,
,0.0003,3159,,,,
9,,3509,,,0.6571999788284302,0.967649519443512
9,,3509,0.6450320482254028,0.990794837474823,,
,0.0003,3510,,,,
10,,3860,,,0.6633999943733215,0.9377375841140747
10,,3860,0.6543580889701843,0.9671755433082581,,
,0.0003,3861,,,,
11,,4211,,,0.6672000288963318,0.9342187643051147
11,,4211,0.6640847325325012,0.9413819909095764,,
,0.0003,4212,,,,
12,,4562,,,0.682200014591217,0.915139377117157
12,,4562,0.674902081489563,0.916391909122467,,
,0.0003,4563,,,,
13,,4913,,,0.6711999773979187,0.9194629788398743
13,,4913,0.6798210740089417,0.9022900462150574,,
,0.0003,4914,,,,
14,,5264,,,0.6790000200271606,0.9012873768806458
14,,5264,0.6894364356994629,0.873196005821228,,
,0.0003,5265,,,,
15,,5615,,,0.6740000247955322,0.9204991459846497
15,,5615,0.6938434839248657,0.8548107743263245,,
,0.0003,5616,,,,
16,,5966,,,0.7013999819755554,0.868177056312561
16,,5966,0.6987179517745972,0.8420474529266357,,
,0.0003,5967,,,,
17,,6317,,,0.7049999833106995,0.8347841501235962
17,,6317,0.7076433300971985,0.8155617713928223,,
,0.0003,6318,,,,
18,,6668,,,0.694599986076355,0.8442950248718262
18,,6668,0.7182603478431702,0.796115517616272,,
,0.0003,6669,,,,
19,,7019,,,0.7057999968528748,0.8414912223815918
19,,7019,0.724425733089447,0.7715290784835815,,
,0.0003,7020,,,,
20,,7370,,,0.7099999785423279,0.8257562518119812
20,,7370,0.7284544110298157,0.7625770568847656,,
,0.0003,7371,,,,
21,,7721,,,0.7113999724388123,0.8321576118469238
21,,7721,0.735621452331543,0.7427637577056885,,
,0.0003,7722,,,,
22,,8072,,,0.7070000171661377,0.8588392734527588
22,,8072,0.741653323173523,0.7243844866752625,,
,0.0003,8073,,,,
23,,8423,,,0.7185999751091003,0.8227086067199707
23,,8423,0.7454816699028015,0.7095377445220947,,
,0.0003,8424,,,,
24,,8774,,,0.7161999940872192,0.8081244826316833
24,,8774,0.7522035241127014,0.6916916966438293,,
,0.0003,8775,,,,
25,,9125,,,0.7269999980926514,0.7923325300216675
25,,9125,0.7613292336463928,0.6709855794906616,,
,0.0003,9126,,,,
26,,9476,,,0.7106000185012817,0.826349139213562
26,,9476,0.7664485573768616,0.651308000087738,,
,0.0003,9477,,,,
27,,9827,,,0.7071999907493591,0.8548375964164734
27,,9827,0.7720797657966614,0.6338777542114258,,
,0.0003,9828,,,,
28,,10178,,,0.7253999710083008,0.8084262013435364
28,,10178,0.7812277674674988,0.6153295636177063,,
,0.0003,10179,,,,
29,,10529,,,0.7250000238418579,0.7866917252540588
29,,10529,0.7869035005569458,0.5984817743301392,,
,0.0003,10530,,,,
30,,10880,,,0.7400000095367432,0.7669260501861572
30,,10880,0.7924679517745972,0.5810067653656006,,
,0.0003,10881,,,,
31,,11231,,,0.7423999905586243,0.7799850106239319
31,,11231,0.7983885407447815,0.5632379651069641,,
,0.0003,11232,,,,
32,,11582,,,0.741599977016449,0.7574752569198608
32,,11582,0.8044871687889099,0.5441681146621704,,
,0.0003,11583,,,,
33,,11933,,,0.7328000068664551,0.8390586972236633
33,,11933,0.8099403381347656,0.5312268137931824,,
,0.0003,11934,,,,
34,,12284,,,0.7332000136375427,0.7933030128479004
34,,12284,0.8139912486076355,0.5203742384910583,,
,0.0003,12285,,,,
35,,12635,,,0.7369999885559082,0.8008766174316406
35,,12635,0.8203347325325012,0.506679356098175,,
,0.0003,12636,,,,
36,,12986,,,0.7437999844551086,0.7812249064445496
36,,12986,0.8249198794364929,0.4869341254234314,,
,0.0003,12987,,,,
37,,13337,,,0.7472000122070312,0.8040586709976196
37,,13337,0.8296162486076355,0.4728916883468628,,
,0.0003,13338,,,,
38,,13688,,,0.7458000183105469,0.7992812991142273
38,,13688,0.8342236280441284,0.4619296193122864,,
,0.0003,13689,,,,
39,,14039,,,0.7423999905586243,0.8043846487998962
39,,14039,0.8372952342033386,0.45271992683410645,,
,0.0003,14040,,,,
40,,14390,,,0.7522000074386597,0.7724655866622925
40,,14390,0.8434606194496155,0.4346550703048706,,
,0.0003,14391,,,,
41,,14741,,,0.746999979019165,0.8282616138458252
41,,14741,0.8513176441192627,0.41502881050109863,,
,0.0003,14742,,,,
42,,15092,,,0.7487999796867371,0.8254911303520203
42,,15092,0.8538995981216431,0.4087692201137543,,
,0.0003,15093,,,,
43,,15443,,,0.7505999803543091,0.8355073928833008
43,,15443,0.8575053215026855,0.39317142963409424,,
,0.0003,15444,,,,
44,,15794,,,0.7631999850273132,0.802925705909729
44,,15794,0.862379789352417,0.3805418908596039,,
,0.0003,15795,,,,
45,,16145,,,0.7526000142097473,0.820096492767334
