epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.0003,0,,,,
0,,350,,,0.39480000734329224,1.6966636180877686
0,,350,0.2990562617778778,1.896918773651123,,
,0.0003,351,,,,
1,,701,,,0.451200008392334,1.5370820760726929
1,,701,0.3967013955116272,1.6532399654388428,,
,0.0003,702,,,,
2,,1052,,,0.4851999878883362,1.4418092966079712
2,,1052,0.43961450457572937,1.5409595966339111,,
,0.0003,1053,,,,
3,,1403,,,0.5103999972343445,1.3808915615081787
3,,1403,0.46737000346183777,1.4701215028762817,,
,0.0003,1404,,,,
4,,1754,,,0.520799994468689,1.328640103340149
4,,1754,0.4847533702850342,1.4178699254989624,,
,0.0003,1755,,,,
5,,2105,,,0.5238000154495239,1.3057498931884766
5,,2105,0.5008235573768616,1.3766683340072632,,
,0.0003,2106,,,,
6,,2456,,,0.5382000207901001,1.274436354637146
6,,2456,0.512597918510437,1.3422136306762695,,
,0.0003,2457,,,,
7,,2807,,,0.5591999888420105,1.2125824689865112
7,,2807,0.5238826274871826,1.3139358758926392,,
,0.0003,2808,,,,
8,,3158,,,0.5595999956130981,1.237327218055725
8,,3158,0.53461092710495,1.2874094247817993,,
,0.0003,3159,,,,
9,,3509,,,0.5784000158309937,1.1969326734542847
9,,3509,0.5405315160751343,1.2709593772888184,,
,0.0003,3510,,,,
10,,3860,,,0.5785999894142151,1.188541293144226
10,,3860,0.549902081489563,1.2472106218338013,,
,0.0003,3861,,,,
11,,4211,,,0.5932000279426575,1.146976113319397
11,,4211,0.5587607026100159,1.2237533330917358,,
,0.0003,4212,,,,
12,,4562,,,0.5971999764442444,1.1298015117645264
12,,4562,0.5608751773834229,1.2126126289367676,,
,0.0003,4563,,,,
13,,4913,,,0.5971999764442444,1.1186424493789673
13,,4913,0.565527081489563,1.1988199949264526,,
,0.0003,4914,,,,
14,,5264,,,0.6057999730110168,1.119161605834961
14,,5264,0.5749421119689941,1.178757667541504,,
,0.0003,5265,,,,
15,,5615,,,0.6069999933242798,1.0967435836791992
15,,5615,0.5789262652397156,1.1686203479766846,,
,0.0003,5616,,,,
16,,5966,,,0.6133999824523926,1.103393793106079
16,,5966,0.583800733089447,1.1566346883773804,,
,0.0003,5967,,,,
17,,6317,,,0.6119999885559082,1.101043701171875
17,,6317,0.5864271521568298,1.1462781429290771,,
,0.0003,6318,,,,
18,,6668,,,0.6096000075340271,1.1114505529403687
18,,6668,0.5932380557060242,1.133387565612793,,
,0.0003,6669,,,,
19,,7019,,,0.614799976348877,1.073208212852478
19,,7019,0.5959757566452026,1.1210798025131226,,
