epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.0003,0,,,,
0,,350,,,0.39480000734329224,1.6966636180877686
0,,350,0.2990562617778778,1.896918773651123,,
,0.0003,351,,,,
1,,701,,,0.451200008392334,1.5370820760726929
1,,701,0.3967013955116272,1.6532399654388428,,
,0.0003,702,,,,
2,,1052,,,0.4851999878883362,1.4418092966079712
2,,1052,0.43961450457572937,1.5409595966339111,,
,0.0003,1053,,,,
3,,1403,,,0.5103999972343445,1.3808915615081787
3,,1403,0.46737000346183777,1.4701215028762817,,
,0.0003,1404,,,,
4,,1754,,,0.520799994468689,1.328640103340149
4,,1754,0.4847533702850342,1.4178699254989624,,
,0.0003,1755,,,,
5,,2105,,,0.5238000154495239,1.3057498931884766
5,,2105,0.5008235573768616,1.3766683340072632,,
,0.0003,2106,,,,
6,,2456,,,0.5382000207901001,1.274436354637146
6,,2456,0.512597918510437,1.3422136306762695,,
,0.0003,2457,,,,
7,,2807,,,0.5591999888420105,1.2125824689865112
7,,2807,0.5238826274871826,1.3139358758926392,,
,0.0003,2808,,,,
8,,3158,,,0.5595999956130981,1.237327218055725
8,,3158,0.53461092710495,1.2874094247817993,,
,0.0003,3159,,,,
9,,3509,,,0.5784000158309937,1.1969326734542847
9,,3509,0.5405315160751343,1.2709593772888184,,
,0.0003,3510,,,,
10,,3860,,,0.5785999894142151,1.188541293144226
10,,3860,0.549902081489563,1.2472106218338013,,
,0.0003,3861,,,,
11,,4211,,,0.5932000279426575,1.146976113319397
11,,4211,0.5587607026100159,1.2237533330917358,,
,0.0003,4212,,,,
12,,4562,,,0.5971999764442444,1.1298015117645264
12,,4562,0.5608751773834229,1.2126126289367676,,
,0.0003,4563,,,,
13,,4913,,,0.5971999764442444,1.1186424493789673
13,,4913,0.565527081489563,1.1988199949264526,,
,0.0003,4914,,,,
14,,5264,,,0.6057999730110168,1.119161605834961
14,,5264,0.5749421119689941,1.178757667541504,,
,0.0003,5265,,,,
15,,5615,,,0.6069999933242798,1.0967435836791992
15,,5615,0.5789262652397156,1.1686203479766846,,
,0.0003,5616,,,,
16,,5966,,,0.6133999824523926,1.103393793106079
16,,5966,0.583800733089447,1.1566346883773804,,
,0.0003,5967,,,,
17,,6317,,,0.6119999885559082,1.101043701171875
17,,6317,0.5864271521568298,1.1462781429290771,,
,0.0003,6318,,,,
18,,6668,,,0.6096000075340271,1.1114505529403687
18,,6668,0.5932380557060242,1.133387565612793,,
,0.0003,6669,,,,
19,,7019,,,0.614799976348877,1.073208212852478
19,,7019,0.5959757566452026,1.1210798025131226,,
,0.0003,7020,,,,
20,,7370,,,0.623199999332428,1.058047890663147
20,,7370,0.6000489592552185,1.1120437383651733,,
,0.0003,7371,,,,
21,,7721,,,0.6273999810218811,1.0642428398132324
21,,7721,0.6082175970077515,1.093376874923706,,
,0.0003,7722,,,,
22,,8072,,,0.6226000189781189,1.0660232305526733
22,,8072,0.6112223863601685,1.0890141725540161,,
,0.0003,8073,,,,
23,,8423,,,0.6308000087738037,1.0383046865463257
23,,8423,0.6149839758872986,1.076255202293396,,
,0.0003,8424,,,,
24,,8774,,,0.6366000175476074,1.0297802686691284
24,,8774,0.6201477646827698,1.0664031505584717,,
,0.0003,8775,,,,
25,,9125,,,0.644599974155426,1.0024741888046265
25,,9125,0.617521345615387,1.0624234676361084,,
,0.0003,9126,,,,
26,,9476,,,0.6435999870300293,1.0139740705490112
26,,9476,0.6227074265480042,1.051522135734558,,
,0.0003,9477,,,,
27,,9827,,,0.6394000053405762,1.0162156820297241
27,,9827,0.6291177272796631,1.0401822328567505,,
,0.0003,9828,,,,
28,,10178,,,0.6474000215530396,1.0030238628387451
28,,10178,0.633146345615387,1.0326379537582397,,
,0.0003,10179,,,,
29,,10529,,,0.6579999923706055,0.9866358637809753
29,,10529,0.6337473392486572,1.025242567062378,,
,0.0003,10530,,,,
30,,10880,,,0.6434000134468079,0.9859509468078613
30,,10880,0.6363292336463928,1.0118471384048462,,
,0.0003,10881,,,,
31,,11231,,,0.6582000255584717,0.9821239113807678
31,,11231,0.6406917572021484,1.001222848892212,,
,0.0003,11232,,,,
32,,11582,,,0.6438000202178955,1.0167431831359863
32,,11582,0.6440526843070984,0.9937098026275635,,
,0.0003,11583,,,,
33,,11933,,,0.6564000248908997,0.9896015524864197
33,,11933,0.6483262181282043,0.9845361113548279,,
,0.0003,11934,,,,
34,,12284,,,0.6611999869346619,0.9738953113555908
34,,12284,0.6492165327072144,0.9806381464004517,,
,0.0003,12285,,,,
35,,12635,,,0.6556000113487244,0.9772364497184753
35,,12635,0.650574266910553,0.973237156867981,,
,0.0003,12636,,,,
36,,12986,,,0.6710000038146973,0.9369768500328064
36,,12986,0.6563835740089417,0.9614425897598267,,
,0.0003,12987,,,,
37,,13337,,,0.6639999747276306,0.9603683352470398
37,,13337,0.6609241366386414,0.9484930038452148,,
,0.0003,13338,,,,
38,,13688,,,0.678600013256073,0.9216573238372803
38,,13688,0.6637731194496155,0.941338062286377,,
,0.0003,13689,,,,
39,,14039,,,0.6585999727249146,0.9760070443153381
39,,14039,0.6653979420661926,0.9341506361961365,,
,0.0003,14040,,,,
40,,14390,,,0.680400013923645,0.9124030470848083
40,,14390,0.6709624528884888,0.9230140447616577,,
,0.0003,14391,,,,
41,,14741,,,0.6723999977111816,0.9342483282089233
41,,14741,0.6730101704597473,0.9189817309379578,,
,0.0003,14742,,,,
42,,15092,,,0.6736000180244446,0.9189693331718445
