epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.0003,0,,,,
0,,350,,,0.4291999936103821,1.6437156200408936
0,,350,0.33644944429397583,1.8134784698486328,,
,0.0003,351,,,,
1,,701,,,0.5026000142097473,1.423811674118042
1,,701,0.44936344027519226,1.5230227708816528,,
,0.0003,702,,,,
2,,1052,,,0.5266000032424927,1.3443856239318848
2,,1052,0.49599358439445496,1.3916808366775513,,
,0.0003,1053,,,,
3,,1403,,,0.5577999949455261,1.2426323890686035
3,,1403,0.5265980958938599,1.310992956161499,,
,0.0003,1404,,,,
4,,1754,,,0.5827999711036682,1.2012484073638916
4,,1754,0.5498575568199158,1.2456295490264893,,
,0.0003,1755,,,,
5,,2105,,,0.5947999954223633,1.1439522504806519
5,,2105,0.5710247755050659,1.189932942390442,,
,0.0003,2106,,,,
6,,2456,,,0.604200005531311,1.0979255437850952
6,,2456,0.5904335975646973,1.1414234638214111,,
,0.0003,2457,,,,
7,,2807,,,0.6158000230789185,1.1014719009399414
7,,2807,0.6031205654144287,1.1023051738739014,,
,0.0003,2808,,,,
8,,3158,,,0.6424000263214111,0.9962505102157593
8,,3158,0.6194800734519958,1.0589154958724976,,
,0.0003,3159,,,,
9,,3509,,,0.6484000086784363,1.0000848770141602
9,,3509,0.6326566934585571,1.028038501739502,,
,0.0003,3510,,,,
10,,3860,,,0.6520000100135803,1.0097718238830566
10,,3860,0.6500400900840759,0.9868937134742737,,
,0.0003,3861,,,,
11,,4211,,,0.6715999841690063,0.9453814625740051
11,,4211,0.6578970551490784,0.957378089427948,,
,0.0003,4212,,,,
12,,4562,,,0.6636000275611877,0.9522641897201538
12,,4562,0.6658208966255188,0.9353815317153931,,
,0.0003,4563,,,,
13,,4913,,,0.6747999787330627,0.9338845014572144
13,,4913,0.6774839758872986,0.9066101312637329,,
,0.0003,4914,,,,
14,,5264,,,0.673799991607666,0.9659558534622192
14,,5264,0.6855857968330383,0.8818308711051941,,
,0.0003,5265,,,,
15,,5615,,,0.6922000050544739,0.8950632810592651
15,,5615,0.6917290091514587,0.8627840280532837,,
,0.0003,5616,,,,
16,,5966,,,0.6715999841690063,0.9690037369728088
16,,5966,0.70223468542099,0.8359196782112122,,
,0.0003,5967,,,,
17,,6317,,,0.6898000240325928,0.8774680495262146
17,,6317,0.7107371687889099,0.808928370475769,,
,0.0003,6318,,,,
18,,6668,,,0.682200014591217,0.920483410358429
18,,6668,0.7187722325325012,0.790243923664093,,
,0.0003,6669,,,,
19,,7019,,,0.694599986076355,0.896369218826294
19,,7019,0.7276531457901001,0.7651335597038269,,
,0.0003,7020,,,,
20,,7370,,,0.7077999711036682,0.8511285185813904
20,,7370,0.7314369678497314,0.7499374747276306,,
,0.0003,7371,,,,
21,,7721,,,0.7093999981880188,0.8540813326835632
21,,7721,0.737913966178894,0.7313452363014221,,
,0.0003,7722,,,,
22,,8072,,,0.7009999752044678,0.890059769153595
22,,8072,0.7449252009391785,0.7118736505508423,,
,0.0003,8073,,,,
23,,8423,,,0.6995999813079834,0.8683315515518188
23,,8423,0.7507122755050659,0.6959505677223206,,
,0.0003,8424,,,,
24,,8774,,,0.7166000008583069,0.8463431596755981
24,,8774,0.7601495981216431,0.6748654246330261,,
,0.0003,8775,,,,
25,,9125,,,0.7111999988555908,0.8556520342826843
25,,9125,0.767761766910553,0.6515711545944214,,
,0.0003,9126,,,,
26,,9476,,,0.7170000076293945,0.8459487557411194
26,,9476,0.7731926441192627,0.634545087814331,,
,0.0003,9477,,,,
27,,9827,,,0.728600025177002,0.7996973395347595
27,,9827,0.778245210647583,0.6219398379325867,,
,0.0003,9828,,,,
28,,10178,,,0.7235999703407288,0.8337662816047668
28,,10178,0.7830751538276672,0.603845477104187,,
,0.0003,10179,,,,
29,,10529,,,0.722000002861023,0.8500162959098816
29,,10529,0.7892850637435913,0.5867536664009094,,
,0.0003,10530,,,,
30,,10880,,,0.72079998254776,0.8372334837913513
30,,10880,0.7954950332641602,0.570932924747467,,
,0.0003,10881,,,,
31,,11231,,,0.7271999716758728,0.8492656350135803
31,,11231,0.7999910712242126,0.5551544427871704,,
,0.0003,11232,,,,
32,,11582,,,0.723800003528595,0.8422210812568665
32,,11582,0.8064013719558716,0.5407528281211853,,
,0.0003,11583,,,,
33,,11933,,,0.7278000116348267,0.8515148162841797
33,,11933,0.8107861280441284,0.5233805179595947,,
,0.0003,11934,,,,
34,,12284,,,0.7200000286102295,0.8580927848815918
34,,12284,0.8212918639183044,0.5069183707237244,,
,0.0003,12285,,,,
35,,12635,,,0.7372000217437744,0.7993438839912415
35,,12635,0.8220263719558716,0.49298226833343506,,
,0.0003,12636,,,,
36,,12986,,,0.7441999912261963,0.8087716102600098
36,,12986,0.8284143805503845,0.4770839810371399,,
,0.0003,12987,,,,
37,,13337,,,0.7347999811172485,0.8480402231216431
37,,13337,0.8335114121437073,0.463608056306839,,
,0.0003,13338,,,,
38,,13688,,,0.7419999837875366,0.8262552618980408
38,,13688,0.836293637752533,0.4527800977230072,,
,0.0003,13689,,,,
39,,14039,,,0.7455999851226807,0.8121582269668579
39,,14039,0.844974160194397,0.43374720215797424,,
,0.0003,14040,,,,
40,,14390,,,0.7383999824523926,0.8515568375587463
40,,14390,0.849425733089447,0.42106032371520996,,
,0.0003,14391,,,,
41,,14741,,,0.7369999885559082,0.904778003692627
41,,14741,0.8518518805503845,0.408025324344635,,
,0.0003,14742,,,,
42,,15092,,,0.7360000014305115,0.8528122305870056
42,,15092,0.8574385643005371,0.399042546749115,,
,0.0003,15093,,,,
43,,15443,,,0.7512000203132629,0.8277782201766968
43,,15443,0.8595530390739441,0.3906607925891876,,
,0.0003,15444,,,,
44,,15794,,,0.7390000224113464,0.8779230713844299
44,,15794,0.8689903616905212,0.36691704392433167,,
,0.0003,15795,,,,
45,,16145,,,0.7562000155448914,0.8511881828308105
45,,16145,0.8695245981216431,0.3610766530036926,,
,0.0003,16146,,,,
46,,16496,,,0.7369999885559082,0.9043217897415161
46,,16496,0.8735532164573669,0.3469138741493225,,
,0.0003,16497,,,,
47,,16847,,,0.7491999864578247,0.8568577170372009
47,,16847,0.8789619207382202,0.33976003527641296,,
,0.0003,16848,,,,
48,,17198,,,0.7465999722480774,0.905229389667511
48,,17198,0.8803864121437073,0.3278338611125946,,
,0.0003,17199,,,,
49,,17549,,,0.7365999817848206,0.9424201250076294
49,,17549,0.8880876302719116,0.3132645785808563,,
,0.0003,17550,,,,
50,,17900,,,0.7396000027656555,0.9549105763435364
50,,17900,0.89240562915802,0.3037846088409424,,
,0.0003,17901,,,,
51,,18251,,,0.7360000014305115,0.9488595724105835
51,,18251,0.892739474773407,0.2989630103111267,,
,0.0003,18252,,,,
52,,18602,,,0.7361999750137329,0.9876462817192078
52,,18602,0.8965678215026855,0.286362886428833,,
,0.0003,18603,,,,
53,,18953,,,0.7472000122070312,0.9048523306846619
53,,18953,0.898993968963623,0.2809150218963623,,
,0.0003,18954,,,,
54,,19304,,,0.7491999864578247,0.9228160381317139
54,,19304,0.9030225872993469,0.2706313729286194,,
,0.0003,19305,,,,
55,,19655,,,0.7282000184059143,1.0027135610580444
55,,19655,0.9027777910232544,0.26683440804481506,,
,0.0003,19656,,,,
56,,20006,,,0.7401999831199646,0.9997327923774719
56,,20006,0.9046919345855713,0.26238521933555603,,
,0.0003,20007,,,,
57,,20357,,,0.7598000168800354,0.9106807708740234
57,,20357,0.90981125831604,0.24833238124847412,,
,0.0003,20358,,,,
58,,20708,,,0.7490000128746033,0.9527849555015564
58,,20708,0.9138621687889099,0.24023579061031342,,
,0.0003,20709,,,,
59,,21059,,,0.7411999702453613,0.9985064268112183
59,,21059,0.917979896068573,0.23070797324180603,,
,0.0003,21060,,,,
60,,21410,,,0.7455999851226807,0.9846991300582886
60,,21410,0.9194934368133545,0.2236804962158203,,
,0.0003,21411,,,,
61,,21761,,,0.748199999332428,0.9861859083175659
61,,21761,0.9193376302719116,0.22369028627872467,,
,0.0003,21762,,,,
62,,22112,,,0.7498000264167786,1.00551176071167
62,,22112,0.9216301441192627,0.2185879796743393,,
,0.0003,22113,,,,
63,,22463,,,0.7444000244140625,0.9940885901451111
63,,22463,0.9242565631866455,0.21032506227493286,,
,0.0003,22464,,,,
64,,22814,,,0.7400000095367432,1.0342642068862915
64,,22814,0.9226762652397156,0.21211810410022736,,
,0.0003,22815,,,,
65,,23165,,,0.7408000230789185,1.090456247329712
65,,23165,0.9286413788795471,0.19874843955039978,,
,0.0003,23166,,,,
66,,23516,,,0.7437999844551086,1.0418379306793213
66,,23516,0.9294871687889099,0.20087282359600067,,
,0.0003,23517,,,,
67,,23867,,,0.7534000277519226,1.0021705627441406
67,,23867,0.9308894276618958,0.19437038898468018,,
,0.0003,23868,,,,
68,,24218,,,0.746999979019165,1.0364668369293213
68,,24218,0.9311119914054871,0.1907230168581009,,
,0.0003,24219,,,,
69,,24569,,,0.75,1.0465315580368042
69,,24569,0.9352074265480042,0.18318796157836914,,
,0.0003,24570,,,,
70,,24920,,,0.7462000250816345,1.050932765007019
70,,24920,0.9361645579338074,0.17736904323101044,,
,0.0003,24921,,,,
71,,25271,,,0.7401999831199646,1.0861225128173828
71,,25271,0.9366319179534912,0.17660580575466156,,
,0.0003,25272,,,,
72,,25622,,,0.7490000128746033,1.06392240524292
72,,25622,0.9384570717811584,0.17345355451107025,,
,0.0003,25623,,,,
73,,25973,,,0.7505999803543091,1.0761780738830566
73,,25973,0.9398815631866455,0.16499276459217072,,
,0.0003,25974,,,,
74,,26324,,,0.7400000095367432,1.1173129081726074
74,,26324,0.9411503076553345,0.16516084969043732,,
,0.0003,26325,,,,
75,,26675,,,0.7396000027656555,1.1286261081695557
75,,26675,0.9454460740089417,0.15616583824157715,,
,0.0003,26676,,,,
76,,27026,,,0.7450000047683716,1.095746636390686
76,,27026,0.9439102411270142,0.15912523865699768,,
,0.0003,27027,,,,
77,,27377,,,0.7355999946594238,1.170060634613037
77,,27377,0.9462473392486572,0.15377043187618256,,
,0.0003,27378,,,,
78,,27728,,,0.7540000081062317,1.1156829595565796
78,,27728,0.9463808536529541,0.14908872544765472,,
,0.0003,27729,,,,
79,,28079,,,0.7541999816894531,1.1001882553100586
79,,28079,0.9464476704597473,0.1503652036190033,,
,0.0003,28080,,,,
80,,28430,,,0.7537999749183655,1.0804754495620728
80,,28430,0.9477385878562927,0.14672428369522095,,
,0.0003,28431,,,,
81,,28781,,,0.7526000142097473,1.1286170482635498
81,,28781,0.9502537250518799,0.1393977403640747,,
,0.0003,28782,,,,
82,,29132,,,0.7429999709129333,1.168915867805481
82,,29132,0.9478498697280884,0.14557421207427979,,
,0.0003,29133,,,,
83,,29483,,,0.7383999824523926,1.2132600545883179
83,,29483,0.9505653381347656,0.13866503536701202,,
,0.0003,29484,,,,
84,,29834,,,0.7526000142097473,1.1228786706924438
84,,29834,0.9539707899093628,0.1317221224308014,,
,0.0003,29835,,,,
85,,30185,,,0.7519999742507935,1.1201812028884888
85,,30185,0.9526353478431702,0.1354227215051651,,
,0.0003,30186,,,,
86,,30536,,,0.7427999973297119,1.1356408596038818
86,,30536,0.9538149833679199,0.13120917975902557,,
,0.0003,30537,,,,
87,,30887,,,0.751800000667572,1.1760187149047852
87,,30887,0.9540375471115112,0.12951484322547913,,
,0.0003,30888,,,,
88,,31238,,,0.7495999932289124,1.1643139123916626
88,,31238,0.9545494914054871,0.12736725807189941,,
,0.0003,31239,,,,
89,,31589,,,0.741599977016449,1.1848492622375488
89,,31589,0.9539262652397156,0.13033124804496765,,
,0.0003,31590,,,,
90,,31940,,,0.7522000074386597,1.1457375288009644
90,,31940,0.9584445953369141,0.1182713732123375,,
,0.0003,31941,,,,
91,,32291,,,0.7455999851226807,1.1779866218566895
91,,32291,0.9565972089767456,0.12206047773361206,,
,0.0003,32292,,,,
92,,32642,,,0.7476000189781189,1.1663435697555542
92,,32642,0.9571759104728699,0.1205679327249527,,
,0.0003,32643,,,,
93,,32993,,,0.7573999762535095,1.1561578512191772
93,,32993,0.9578658938407898,0.1156003549695015,,
,0.0003,32994,,,,
94,,33344,,,0.7477999925613403,1.2275394201278687
94,,33344,0.9591346383094788,0.1161455437541008,,
,0.0003,33345,,,,
95,,33695,,,0.7441999912261963,1.2514067888259888
95,,33695,0.9594907164573669,0.115200936794281,,
,0.0003,33696,,,,
96,,34046,,,0.7422000169754028,1.2258108854293823
96,,34046,0.9602252244949341,0.11607687920331955,,
,0.0003,34047,,,,
97,,34397,,,0.746999979019165,1.220171332359314
97,,34397,0.9608929753303528,0.10906204581260681,,
,0.0003,34398,,,,
98,,34748,,,0.7487999796867371,1.199248194694519
98,,34748,0.9597578644752502,0.11329375952482224,,
,0.0003,34749,,,,
99,,35099,,,0.7519999742507935,1.1748325824737549
99,,35099,0.9604478478431702,0.11428084969520569,,
