epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.0003,0,,,,
0,,350,,,0.4772000014781952,1.4674655199050903
0,,350,0.3704594075679779,1.740714192390442,,
,0.0003,351,,,,
1,,701,,,0.5081999897956848,1.3923200368881226
1,,701,0.4635861814022064,1.4752671718597412,,
,0.0003,702,,,,
2,,1052,,,0.5324000120162964,1.316424012184143
2,,1052,0.49788549542427063,1.391756296157837,,
,0.0003,1053,,,,
3,,1403,,,0.5605999827384949,1.253614902496338
3,,1403,0.5216791033744812,1.3285216093063354,,
,0.0003,1404,,,,
4,,1754,,,0.571399986743927,1.208759069442749
4,,1754,0.5359908938407898,1.2833176851272583,,
,0.0003,1755,,,,
5,,2105,,,0.5630000233650208,1.2202808856964111
5,,2105,0.5503472089767456,1.2467443943023682,,
,0.0003,2106,,,,
6,,2456,,,0.5853999853134155,1.1686716079711914
6,,2456,0.5643251538276672,1.2115058898925781,,
,0.0003,2457,,,,
7,,2807,,,0.5932000279426575,1.1429120302200317
7,,2807,0.5735176205635071,1.187944769859314,,
,0.0003,2808,,,,
8,,3158,,,0.599399983882904,1.1302361488342285
8,,3158,0.5872061848640442,1.1572849750518799,,
,0.0003,3159,,,,
9,,3509,,,0.5996000170707703,1.1244070529937744
9,,3509,0.5881187915802002,1.142393946647644,,
,0.0003,3510,,,,
10,,3860,,,0.5982000231742859,1.134411334991455
10,,3860,0.5996928215026855,1.1147781610488892,,
,0.0003,3861,,,,
11,,4211,,,0.6237999796867371,1.0668729543685913
11,,4211,0.6112223863601685,1.089979648590088,,
,0.0003,4212,,,,
12,,4562,,,0.6294000148773193,1.0520294904708862
12,,4562,0.6139823794364929,1.0767910480499268,,
,0.0003,4563,,,,
13,,4913,,,0.6338000297546387,1.0568299293518066
13,,4913,0.622885525226593,1.0526031255722046,,
,0.0003,4914,,,,
14,,5264,,,0.6287999749183655,1.0517016649246216
14,,5264,0.6289619207382202,1.0356435775756836,,
,0.0003,5265,,,,
15,,5615,,,0.6349999904632568,1.0293653011322021
15,,5615,0.6378650069236755,1.0173360109329224,,
,0.0003,5616,,,,
16,,5966,,,0.6442000269889832,1.017486810684204
16,,5966,0.6406695246696472,1.0028177499771118,,
,0.0003,5967,,,,
17,,6317,,,0.6420000195503235,1.0233800411224365
17,,6317,0.6494613885879517,0.9818291068077087,,
,0.0003,6318,,,,
18,,6668,,,0.6514000296592712,1.0067769289016724
18,,6668,0.6560051441192627,0.96275395154953,,
,0.0003,6669,,,,
19,,7019,,,0.651199996471405,1.0051171779632568
19,,7019,0.6611689925193787,0.9516476392745972,,
