epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.0003,0,,,,
0,,350,,,0.39160001277923584,1.6390329599380493
0,,350,0.23642271757125854,2.063005208969116,,
,0.0003,351,,,,
1,,701,,,0.4625999927520752,1.4817774295806885
1,,701,0.3283030688762665,1.8424925804138184,,
,0.0003,702,,,,
2,,1052,,,0.5080000162124634,1.3823552131652832
2,,1052,0.3693687617778778,1.7390269041061401,,
,0.0003,1053,,,,
3,,1403,,,0.526199996471405,1.3093969821929932
3,,1403,0.38904470205307007,1.6736246347427368,,
,0.0003,1404,,,,
4,,1754,,,0.5475999712944031,1.2696113586425781
4,,1754,0.4110131859779358,1.6228266954421997,,
,0.0003,1755,,,,
5,,2105,,,0.5633999705314636,1.2222076654434204
5,,2105,0.42694979906082153,1.578314185142517,,
,0.0003,2106,,,,
6,,2456,,,0.5666000247001648,1.199785828590393
6,,2456,0.4415731728076935,1.5434764623641968,,
,0.0003,2457,,,,
7,,2807,,,0.5781999826431274,1.1810697317123413
7,,2807,0.4582888185977936,1.5013794898986816,,
,0.0003,2808,,,,
8,,3158,,,0.5666000247001648,1.1875321865081787
8,,3158,0.469195157289505,1.4760547876358032,,
,0.0003,3159,,,,
9,,3509,,,0.597599983215332,1.110315203666687
9,,3509,0.4780315160751343,1.4408413171768188,,
,0.0003,3510,,,,
10,,3860,,,0.6079999804496765,1.087025761604309
10,,3860,0.4885149598121643,1.4189214706420898,,
,0.0003,3861,,,,
11,,4211,,,0.6051999926567078,1.0951757431030273
11,,4211,0.4974181056022644,1.394697904586792,,
,0.0003,4212,,,,
12,,4562,,,0.6276000142097473,1.0366603136062622
12,,4562,0.5104166865348816,1.3673882484436035,,
,0.0003,4563,,,,
13,,4913,,,0.6359999775886536,1.006039023399353
13,,4913,0.5138666033744812,1.3487117290496826,,
,0.0003,4914,,,,
14,,5264,,,0.6514000296592712,0.9717006087303162
14,,5264,0.5295806527137756,1.3111122846603394,,
,0.0003,5265,,,,
15,,5615,,,0.6531999707221985,0.9735718965530396
15,,5615,0.530003547668457,1.307023525238037,,
,0.0003,5616,,,,
16,,5966,,,0.6503999829292297,0.9594829082489014
16,,5966,0.5423121452331543,1.283735990524292,,
,0.0003,5967,,,,
17,,6317,,,0.6510000228881836,0.9674826860427856
17,,6317,0.5469195246696472,1.2642102241516113,,
,0.0003,6318,,,,
18,,6668,,,0.6654000282287598,0.9365255832672119
18,,6668,0.5547320246696472,1.2469831705093384,,
,0.0003,6669,,,,
19,,7019,,,0.6669999957084656,0.9130374789237976
19,,7019,0.5599181056022644,1.2306485176086426,,
