epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.0003,0,,,,
0,,350,,,0.48739999532699585,1.4332891702651978
0,,350,0.35145121812820435,1.7625656127929688,,
,0.0003,351,,,,
1,,701,,,0.5461999773979187,1.2719837427139282
1,,701,0.49094104766845703,1.4125699996948242,,
,0.0003,702,,,,
2,,1052,,,0.5600000023841858,1.2145808935165405
2,,1052,0.5379941463470459,1.2904908657073975,,
,0.0003,1053,,,,
3,,1403,,,0.6021999716758728,1.1155726909637451
3,,1403,0.5667067170143127,1.2145837545394897,,
,0.0003,1404,,,,
4,,1754,,,0.6061999797821045,1.1140320301055908
4,,1754,0.5850026607513428,1.15513277053833,,
,0.0003,1755,,,,
5,,2105,,,0.6226000189781189,1.0466164350509644
5,,2105,0.6067485809326172,1.1003185510635376,,
,0.0003,2106,,,,
6,,2456,,,0.6327999830245972,1.0257762670516968
6,,2456,0.6207932829856873,1.0640145540237427,,
,0.0003,2457,,,,
7,,2807,,,0.6442000269889832,0.9821873307228088
7,,2807,0.6327234506607056,1.0249838829040527,,
,0.0003,2808,,,,
8,,3158,,,0.6564000248908997,0.9715180397033691
8,,3158,0.6454772353172302,0.9976059198379517,,
,0.0003,3159,,,,
9,,3509,,,0.6579999923706055,0.9540836811065674
9,,3509,0.6564058065414429,0.968928873538971,,
,0.0003,3510,,,,
10,,3860,,,0.6633999943733215,0.9358114004135132
10,,3860,0.6661102175712585,0.9422546625137329,,
,0.0003,3861,,,,
11,,4211,,,0.6746000051498413,0.9146188497543335
11,,4211,0.6703837513923645,0.9253812432289124,,
,0.0003,4212,,,,
12,,4562,,,0.6660000085830688,0.9297578930854797
12,,4562,0.6790642738342285,0.8974654674530029,,
,0.0003,4563,,,,
13,,4913,,,0.6751999855041504,0.9003302454948425
13,,4913,0.6877003312110901,0.8748866319656372,,
,0.0003,4914,,,,
14,,5264,,,0.6873999834060669,0.8835868239402771
14,,5264,0.6944667100906372,0.8612187504768372,,
,0.0003,5265,,,,
15,,5615,,,0.6959999799728394,0.885377049446106
15,,5615,0.6998753547668457,0.8414561152458191,,
,0.0003,5616,,,,
16,,5966,,,0.7034000158309937,0.8449229598045349
16,,5966,0.7103365659713745,0.8184452056884766,,
,0.0003,5967,,,,
17,,6317,,,0.6991999745368958,0.8681704998016357
17,,6317,0.715366780757904,0.7973411679267883,,
,0.0003,6318,,,,
18,,6668,,,0.6926000118255615,0.8541565537452698
18,,6668,0.7208422422409058,0.7815852761268616,,
,0.0003,6669,,,,
19,,7019,,,0.6966000199317932,0.8531036376953125
19,,7019,0.7300124764442444,0.7590610980987549,,
