epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.0003,0,,,,
0,,350,,,0.48739999532699585,1.4332891702651978
0,,350,0.35145121812820435,1.7625656127929688,,
,0.0003,351,,,,
1,,701,,,0.5461999773979187,1.2719837427139282
1,,701,0.49094104766845703,1.4125699996948242,,
,0.0003,702,,,,
2,,1052,,,0.5600000023841858,1.2145808935165405
2,,1052,0.5379941463470459,1.2904908657073975,,
,0.0003,1053,,,,
3,,1403,,,0.6021999716758728,1.1155726909637451
3,,1403,0.5667067170143127,1.2145837545394897,,
,0.0003,1404,,,,
4,,1754,,,0.6061999797821045,1.1140320301055908
4,,1754,0.5850026607513428,1.15513277053833,,
,0.0003,1755,,,,
5,,2105,,,0.6226000189781189,1.0466164350509644
5,,2105,0.6067485809326172,1.1003185510635376,,
,0.0003,2106,,,,
6,,2456,,,0.6327999830245972,1.0257762670516968
6,,2456,0.6207932829856873,1.0640145540237427,,
,0.0003,2457,,,,
7,,2807,,,0.6442000269889832,0.9821873307228088
7,,2807,0.6327234506607056,1.0249838829040527,,
,0.0003,2808,,,,
8,,3158,,,0.6564000248908997,0.9715180397033691
8,,3158,0.6454772353172302,0.9976059198379517,,
,0.0003,3159,,,,
9,,3509,,,0.6579999923706055,0.9540836811065674
9,,3509,0.6564058065414429,0.968928873538971,,
,0.0003,3510,,,,
10,,3860,,,0.6633999943733215,0.9358114004135132
10,,3860,0.6661102175712585,0.9422546625137329,,
,0.0003,3861,,,,
11,,4211,,,0.6746000051498413,0.9146188497543335
11,,4211,0.6703837513923645,0.9253812432289124,,
,0.0003,4212,,,,
12,,4562,,,0.6660000085830688,0.9297578930854797
12,,4562,0.6790642738342285,0.8974654674530029,,
,0.0003,4563,,,,
13,,4913,,,0.6751999855041504,0.9003302454948425
13,,4913,0.6877003312110901,0.8748866319656372,,
,0.0003,4914,,,,
14,,5264,,,0.6873999834060669,0.8835868239402771
14,,5264,0.6944667100906372,0.8612187504768372,,
,0.0003,5265,,,,
15,,5615,,,0.6959999799728394,0.885377049446106
15,,5615,0.6998753547668457,0.8414561152458191,,
,0.0003,5616,,,,
16,,5966,,,0.7034000158309937,0.8449229598045349
16,,5966,0.7103365659713745,0.8184452056884766,,
,0.0003,5967,,,,
17,,6317,,,0.6991999745368958,0.8681704998016357
17,,6317,0.715366780757904,0.7973411679267883,,
,0.0003,6318,,,,
18,,6668,,,0.6926000118255615,0.8541565537452698
18,,6668,0.7208422422409058,0.7815852761268616,,
,0.0003,6669,,,,
19,,7019,,,0.6966000199317932,0.8531036376953125
19,,7019,0.7300124764442444,0.7590610980987549,,
,0.0003,7020,,,,
20,,7370,,,0.7120000123977661,0.8293609619140625
20,,7370,0.7361778616905212,0.7403572201728821,,
,0.0003,7371,,,,
21,,7721,,,0.704200029373169,0.8323443531990051
21,,7721,0.7414307594299316,0.7246014475822449,,
,0.0003,7722,,,,
22,,8072,,,0.7178000211715698,0.8156399130821228
22,,8072,0.7503116130828857,0.7042151689529419,,
,0.0003,8073,,,,
23,,8423,,,0.7221999764442444,0.7963628172874451
23,,8423,0.7544960975646973,0.6921132802963257,,
,0.0003,8424,,,,
24,,8774,,,0.7279999852180481,0.8041956424713135
24,,8774,0.7640001773834229,0.6682730317115784,,
,0.0003,8775,,,,
25,,9125,,,0.718999981880188,0.7992833256721497
25,,9125,0.7700098156929016,0.6508774757385254,,
,0.0003,9126,,,,
26,,9476,,,0.7289999723434448,0.801520586013794
26,,9476,0.7740607261657715,0.6354601979255676,,
,0.0003,9477,,,,
27,,9827,,,0.7368000149726868,0.7853142023086548
27,,9827,0.7795806527137756,0.6215369701385498,,
,0.0003,9828,,,,
28,,10178,,,0.7307999730110168,0.7916061878204346
28,,10178,0.7840767502784729,0.6057142019271851,,
,0.0003,10179,,,,
29,,10529,,,0.7350000143051147,0.788870096206665
29,,10529,0.7880831360816956,0.5938436985015869,,
,0.0003,10530,,,,
30,,10880,,,0.7418000102043152,0.7598743438720703
30,,10880,0.7925792336463928,0.5807445645332336,,
,0.0003,10881,,,,
31,,11231,,,0.7401999831199646,0.7831576466560364
31,,11231,0.8035968542098999,0.5594298839569092,,
,0.0003,11232,,,,
32,,11582,,,0.7404000163078308,0.7740718722343445
32,,11582,0.8036859035491943,0.5499917268753052,,
,0.0003,11583,,,,
33,,11933,,,0.7422000169754028,0.768598735332489
33,,11933,0.805911660194397,0.5402262806892395,,
,0.0003,11934,,,,
34,,12284,,,0.7513999938964844,0.7462538480758667
34,,12284,0.8108529448509216,0.5263904333114624,,
,0.0003,12285,,,,
35,,12635,,,0.7429999709129333,0.772606372833252
35,,12635,0.8204460740089417,0.5101833343505859,,
,0.0003,12636,,,,
36,,12986,,,0.7537999749183655,0.7550738453865051
36,,12986,0.8220263719558716,0.4963223338127136,,
,0.0003,12987,,,,
37,,13337,,,0.7396000027656555,0.8067957758903503
37,,13337,0.8261663317680359,0.48413026332855225,,
,0.0003,13338,,,,
38,,13688,,,0.7447999715805054,0.7870839238166809
38,,13688,0.8297275900840759,0.474825382232666,,
,0.0003,13689,,,,
39,,14039,,,0.7447999715805054,0.8089397549629211
39,,14039,0.8354700803756714,0.460062712430954,,
,0.0003,14040,,,,
40,,14390,,,0.7513999938964844,0.7750739455223083
40,,14390,0.8363158702850342,0.45129406452178955,,
,0.0003,14391,,,,
41,,14741,,,0.7432000041007996,0.8159553408622742
41,,14741,0.8431490659713745,0.4349093437194824,,
,0.0003,14742,,,,
42,,15092,,,0.7581999897956848,0.7793506383895874
42,,15092,0.8453970551490784,0.4306351840496063,,
,0.0003,15093,,,,
43,,15443,,,0.7459999918937683,0.8279158473014832
43,,15443,0.8520299196243286,0.4160906672477722,,
,0.0003,15444,,,,
44,,15794,,,0.7491999864578247,0.8069391846656799
44,,15794,0.8557024598121643,0.40205079317092896,,
,0.0003,15795,,,,
45,,16145,,,0.7501999735832214,0.8053376078605652
45,,16145,0.8583734035491943,0.39359942078590393,,
,0.0003,16146,,,,
46,,16496,,,0.741599977016449,0.843934953212738
46,,16496,0.8614004850387573,0.3844938278198242,,
,0.0003,16497,,,,
47,,16847,,,0.7545999884605408,0.8145161867141724
47,,16847,0.8637375235557556,0.3760416805744171,,
,0.0003,16848,,,,
48,,17198,,,0.7552000284194946,0.8186271786689758
48,,17198,0.8703480958938599,0.36388105154037476,,
,0.0003,17199,,,,
49,,17549,,,0.7483999729156494,0.8540806770324707
49,,17549,0.8727964758872986,0.3554532825946808,,
,0.0003,17550,,,,
50,,17900,,,0.7473999857902527,0.86151522397995
50,,17900,0.8745548725128174,0.34490376710891724,,
,0.0003,17901,,,,
51,,18251,,,0.7516000270843506,0.8740206956863403
51,,18251,0.8774038553237915,0.3396005928516388,,
,0.0003,18252,,,,
52,,18602,,,0.7468000054359436,0.8736374974250793
52,,18602,0.8825231194496155,0.3282586634159088,,
,0.0003,18603,,,,
53,,18953,,,0.7541999816894531,0.8409856557846069
53,,18953,0.8848824501037598,0.31952330470085144,,
,0.0003,18954,,,,
54,,19304,,,0.7480000257492065,0.8737047910690308
54,,19304,0.8869746923446655,0.31438180804252625,,
,0.0003,19305,,,,
55,,19655,,,0.751800000667572,0.8487495183944702
55,,19655,0.8892005085945129,0.30477026104927063,,
,0.0003,19656,,,,
56,,20006,,,0.7540000081062317,0.8665608167648315
56,,20006,0.8929175734519958,0.2993713915348053,,
,0.0003,20007,,,,
57,,20357,,,0.7585999965667725,0.8456910848617554
57,,20357,0.8959223628044128,0.2913658916950226,,
,0.0003,20358,,,,
58,,20708,,,0.7567999958992004,0.870647668838501
58,,20708,0.9000400900840759,0.282162606716156,,
,0.0003,20709,,,,
59,,21059,,,0.7441999912261963,0.9112311601638794
59,,21059,0.9016426205635071,0.2733863890171051,,
,0.0003,21060,,,,
60,,21410,,,0.7476000189781189,0.9375558495521545
60,,21410,0.9036235809326172,0.26725301146507263,,
,0.0003,21411,,,,
61,,21761,,,0.748199999332428,0.9158767461776733
61,,21761,0.9071180820465088,0.25651973485946655,,
,0.0003,21762,,,,
62,,22112,,,0.753000020980835,0.918877124786377
62,,22112,0.9071625471115112,0.2546328604221344,,
,0.0003,22113,,,,
63,,22463,,,0.7432000041007996,0.963574230670929
63,,22463,0.9114583134651184,0.24779723584651947,,
,0.0003,22464,,,,
64,,22814,,,0.7512000203132629,0.9326996207237244
64,,22814,0.9133725166320801,0.24118715524673462,,
,0.0003,22815,,,,
65,,23165,,,0.7526000142097473,0.927794337272644
65,,23165,0.9136618375778198,0.2417726367712021,,
,0.0003,23166,,,,
66,,23516,,,0.7477999925613403,0.9490899443626404
66,,23516,0.9172230958938599,0.23133043944835663,,
,0.0003,23517,,,,
67,,23867,,,0.748199999332428,0.9660000205039978
67,,23867,0.9166666865348816,0.2323373705148697,,
,0.0003,23868,,,,
68,,24218,,,0.7447999715805054,0.9846344590187073
68,,24218,0.920650839805603,0.22204135358333588,,
,0.0003,24219,,,,
69,,24569,,,0.745199978351593,0.9522519707679749
69,,24569,0.921541154384613,0.21488407254219055,,
,0.0003,24570,,,,
70,,24920,,,0.7540000081062317,0.9670864939689636
70,,24920,0.9229211211204529,0.21600283682346344,,
,0.0003,24921,,,,
71,,25271,,,0.7486000061035156,0.9647887945175171
71,,25271,0.9249243140220642,0.2100493311882019,,
,0.0003,25272,,,,
72,,25622,,,0.7355999946594238,1.0441346168518066
72,,25622,0.9281294345855713,0.1990169882774353,,
,0.0003,25623,,,,
73,,25973,,,0.7444000244140625,0.9900980591773987
73,,25973,0.9286191463470459,0.20039665699005127,,
,0.0003,25974,,,,
74,,26324,,,0.7494000196456909,1.0017151832580566
74,,26324,0.9299545884132385,0.19474148750305176,,
,0.0003,26325,,,,
