epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.0003,0,,,,
0,,350,,,0.4819999933242798,1.4344923496246338
0,,350,0.3605101406574249,1.749670147895813,,
,0.0003,351,,,,
1,,701,,,0.5311999917030334,1.317943811416626
1,,701,0.4806801974773407,1.4440414905548096,,
,0.0003,702,,,,
2,,1052,,,0.5618000030517578,1.2208843231201172
2,,1052,0.5211004018783569,1.3319401741027832,,
,0.0003,1053,,,,
3,,1403,,,0.5735999941825867,1.169114589691162
3,,1403,0.5488114356994629,1.2541545629501343,,
,0.0003,1404,,,,
4,,1754,,,0.59579998254776,1.1255689859390259
4,,1754,0.5682647824287415,1.2064677476882935,,
,0.0003,1755,,,,
5,,2105,,,0.6075999736785889,1.0991488695144653
5,,2105,0.5868055820465088,1.1535038948059082,,
,0.0003,2106,,,,
6,,2456,,,0.6161999702453613,1.0727957487106323
6,,2456,0.5986467003822327,1.1243658065795898,,
,0.0003,2457,,,,
7,,2807,,,0.6363999843597412,1.0376404523849487
7,,2807,0.6140491366386414,1.0780370235443115,,
,0.0003,2808,,,,
8,,3158,,,0.6531999707221985,1.0023328065872192
8,,3158,0.6235755085945129,1.0528329610824585,,
,0.0003,3159,,,,
9,,3509,,,0.6538000106811523,0.9875780344009399
9,,3509,0.6354612112045288,1.0253797769546509,,
,0.0003,3510,,,,
10,,3860,,,0.6466000080108643,0.97699373960495
10,,3860,0.6438524127006531,1.000276803970337,,
,0.0003,3861,,,,
11,,4211,,,0.6759999990463257,0.930722177028656
11,,4211,0.6521322727203369,0.9751846790313721,,
,0.0003,4212,,,,
12,,4562,,,0.6665999889373779,0.9516041278839111
12,,4562,0.6586093306541443,0.9572118520736694,,
,0.0003,4563,,,,
