epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.0003,0,,,,
0,,350,,,0.4819999933242798,1.4344923496246338
0,,350,0.3605101406574249,1.749670147895813,,
,0.0003,351,,,,
1,,701,,,0.5311999917030334,1.317943811416626
1,,701,0.4806801974773407,1.4440414905548096,,
,0.0003,702,,,,
2,,1052,,,0.5618000030517578,1.2208843231201172
2,,1052,0.5211004018783569,1.3319401741027832,,
,0.0003,1053,,,,
3,,1403,,,0.5735999941825867,1.169114589691162
3,,1403,0.5488114356994629,1.2541545629501343,,
,0.0003,1404,,,,
4,,1754,,,0.59579998254776,1.1255689859390259
4,,1754,0.5682647824287415,1.2064677476882935,,
,0.0003,1755,,,,
5,,2105,,,0.6075999736785889,1.0991488695144653
5,,2105,0.5868055820465088,1.1535038948059082,,
,0.0003,2106,,,,
6,,2456,,,0.6161999702453613,1.0727957487106323
6,,2456,0.5986467003822327,1.1243658065795898,,
,0.0003,2457,,,,
7,,2807,,,0.6363999843597412,1.0376404523849487
7,,2807,0.6140491366386414,1.0780370235443115,,
,0.0003,2808,,,,
8,,3158,,,0.6531999707221985,1.0023328065872192
8,,3158,0.6235755085945129,1.0528329610824585,,
,0.0003,3159,,,,
9,,3509,,,0.6538000106811523,0.9875780344009399
9,,3509,0.6354612112045288,1.0253797769546509,,
,0.0003,3510,,,,
10,,3860,,,0.6466000080108643,0.97699373960495
10,,3860,0.6438524127006531,1.000276803970337,,
,0.0003,3861,,,,
11,,4211,,,0.6759999990463257,0.930722177028656
11,,4211,0.6521322727203369,0.9751846790313721,,
,0.0003,4212,,,,
12,,4562,,,0.6665999889373779,0.9516041278839111
12,,4562,0.6586093306541443,0.9572118520736694,,
,0.0003,4563,,,,
13,,4913,,,0.6845999956130981,0.8965336680412292
13,,4913,0.6697160005569458,0.9293925166130066,,
,0.0003,4914,,,,
14,,5264,,,0.6814000010490417,0.8965204954147339
14,,5264,0.6738559603691101,0.9113956689834595,,
,0.0003,5265,,,,
15,,5615,,,0.6890000104904175,0.8899623155593872
15,,5615,0.6820690631866455,0.8928555846214294,,
,0.0003,5616,,,,
16,,5966,,,0.6923999786376953,0.8838703036308289
16,,5966,0.6914619207382202,0.8715181350708008,,
,0.0003,5967,,,,
17,,6317,,,0.6944000124931335,0.8639668822288513
17,,6317,0.6969150900840759,0.8496867418289185,,
,0.0003,6318,,,,
18,,6668,,,0.6937999725341797,0.8827371001243591
18,,6668,0.7047720551490784,0.8291477560997009,,
,0.0003,6669,,,,
19,,7019,,,0.6904000043869019,0.8931947350502014
19,,7019,0.7115607261657715,0.813483715057373,,
,0.0003,7020,,,,
20,,7370,,,0.7088000178337097,0.8574374318122864
20,,7370,0.7173032164573669,0.7930853366851807,,
,0.0003,7371,,,,
21,,7721,,,0.7056000232696533,0.8646905422210693
21,,7721,0.7221554517745972,0.774937629699707,,
,0.0003,7722,,,,
22,,8072,,,0.7039999961853027,0.8425005078315735
22,,8072,0.7297453880310059,0.7598132491111755,,
,0.0003,8073,,,,
23,,8423,,,0.7170000076293945,0.8558580875396729
23,,8423,0.7359775900840759,0.7445547580718994,,
,0.0003,8424,,,,
24,,8774,,,0.7175999879837036,0.8317796587944031
24,,8774,0.7410968542098999,0.7263058423995972,,
,0.0003,8775,,,,
25,,9125,,,0.7185999751091003,0.8132352232933044
25,,9125,0.7493767738342285,0.7096201181411743,,
,0.0003,9126,,,,
26,,9476,,,0.717199981212616,0.8219408392906189
26,,9476,0.7518696784973145,0.6955353021621704,,
,0.0003,9477,,,,
27,,9827,,,0.7160000205039978,0.8513163328170776
27,,9827,0.7586137652397156,0.679466187953949,,
,0.0003,9828,,,,
28,,10178,,,0.729200005531311,0.8133612871170044
28,,10178,0.7618857026100159,0.667471706867218,,
,0.0003,10179,,,,
29,,10529,,,0.7179999947547913,0.8346357345581055
29,,10529,0.7692530155181885,0.6462284326553345,,
,0.0003,10530,,,,
30,,10880,,,0.7282000184059143,0.7991346716880798
30,,10880,0.7733262181282043,0.6390441656112671,,
,0.0003,10881,,,,
31,,11231,,,0.7193999886512756,0.8315446376800537
31,,11231,0.7809383869171143,0.617860734462738,,
,0.0003,11232,,,,
32,,11582,,,0.7373999953269958,0.7725143432617188
32,,11582,0.7825409770011902,0.6105400919914246,,
,0.0003,11583,,,,
33,,11933,,,0.7214000225067139,0.8526947498321533
33,,11933,0.7893518805503845,0.5913722515106201,,
,0.0003,11934,,,,
34,,12284,,,0.7382000088691711,0.7955515384674072
34,,12284,0.7918892502784729,0.586868405342102,,
,0.0003,12285,,,,
35,,12635,,,0.7336000204086304,0.7931254506111145
35,,12635,0.7984330654144287,0.5684049129486084,,
,0.0003,12636,,,,
36,,12986,,,0.7414000034332275,0.7780792713165283
36,,12986,0.8005253076553345,0.5559071898460388,,
,0.0003,12987,,,,
37,,13337,,,0.7459999918937683,0.7728933095932007
37,,13337,0.8056668639183044,0.5460077524185181,,
,0.0003,13338,,,,
38,,13688,,,0.7378000020980835,0.7830331921577454
38,,13688,0.8105857968330383,0.53229820728302,,
,0.0003,13689,,,,
39,,14039,,,0.7390000224113464,0.8011835813522339
39,,14039,0.8115874528884888,0.5269681811332703,,
,0.0003,14040,,,,
40,,14390,,,0.7414000034332275,0.7960805892944336
40,,14390,0.8196447491645813,0.5090100169181824,,
,0.0003,14391,,,,
41,,14741,,,0.7462000250816345,0.7874411344528198
41,,14741,0.8214031457901001,0.5003361105918884,,
,0.0003,14742,,,,
42,,15092,,,0.75,0.7872374653816223
42,,15092,0.8243634104728699,0.48706841468811035,,
,0.0003,15093,,,,
43,,15443,,,0.7465999722480774,0.7999312281608582
43,,15443,0.8312633633613586,0.46999695897102356,,
,0.0003,15444,,,,
44,,15794,,,0.7444000244140625,0.7977023720741272
44,,15794,0.8312410712242126,0.4653012454509735,,
,0.0003,15795,,,,
45,,16145,,,0.7494000196456909,0.8114757537841797
45,,16145,0.8385639190673828,0.45311638712882996,,
,0.0003,16146,,,,
46,,16496,,,0.7455999851226807,0.8103131055831909
46,,16496,0.8405894041061401,0.43991971015930176,,
,0.0003,16497,,,,
47,,16847,,,0.7477999925613403,0.7844852805137634
47,,16847,0.8446848392486572,0.4318358898162842,,
,0.0003,16848,,,,
48,,17198,,,0.7512000203132629,0.7955532670021057
48,,17198,0.8489137887954712,0.42387986183166504,,
,0.0003,17199,,,,
49,,17549,,,0.7477999925613403,0.8290047645568848
49,,17549,0.8522524833679199,0.40824347734451294,,
,0.0003,17550,,,,
50,,17900,,,0.7476000189781189,0.7960719466209412
50,,17900,0.8550792336463928,0.4025931656360626,,
,0.0003,17901,,,,
51,,18251,,,0.7440000176429749,0.8390902280807495
51,,18251,0.8602430820465088,0.38987430930137634,,
,0.0003,18252,,,,
52,,18602,,,0.7441999912261963,0.8508180379867554
52,,18602,0.8618901371955872,0.3816414773464203,,
,0.0003,18603,,,,
53,,18953,,,0.7558000087738037,0.8121727108955383
53,,18953,0.861511766910553,0.37922942638397217,,
,0.0003,18954,,,,
54,,19304,,,0.7465999722480774,0.8288682699203491
54,,19304,0.8670984506607056,0.3727714717388153,,
,0.0003,19305,,,,
55,,19655,,,0.7486000061035156,0.8481504917144775
55,,19655,0.86985844373703,0.3593299090862274,,
,0.0003,19656,,,,
56,,20006,,,0.75,0.84677654504776
56,,20006,0.8753783702850342,0.34810128808021545,,
,0.0003,20007,,,,
57,,20357,,,0.7473999857902527,0.8796063661575317
57,,20357,0.8756009340286255,0.3439275622367859,,
,0.0003,20358,,,,
58,,20708,,,0.7513999938964844,0.8778770565986633
58,,20708,0.8795850872993469,0.33339089155197144,,
,0.0003,20709,,,,
59,,21059,,,0.7477999925613403,0.8925977349281311
59,,21059,0.8817886114120483,0.3305894136428833,,
,0.0003,21060,,,,
60,,21410,,,0.7570000290870667,0.8405500054359436
60,,21410,0.8851495981216431,0.31708911061286926,,
,0.0003,21411,,,,
61,,21761,,,0.7494000196456909,0.9081950187683105
61,,21761,0.889378547668457,0.3099197745323181,,
,0.0003,21762,,,,
62,,22112,,,0.7541999816894531,0.899958610534668
62,,22112,0.8922943472862244,0.3007839322090149,,
,0.0003,22113,,,,
63,,22463,,,0.7591999769210815,0.8607719540596008
63,,22463,0.89576655626297,0.2943543791770935,,
,0.0003,22464,,,,
64,,22814,,,0.7526000142097473,0.8694586157798767
64,,22814,0.8941417336463928,0.29420381784439087,,
,0.0003,22815,,,,
65,,23165,,,0.7590000033378601,0.8867355585098267
65,,23165,0.8984597325325012,0.2868109941482544,,
,0.0003,23166,,,,
66,,23516,,,0.7480000257492065,0.9222921133041382
66,,23516,0.8997507095336914,0.28104668855667114,,
,0.0003,23517,,,,
67,,23867,,,0.7454000115394592,0.9160646200180054
67,,23867,0.9028000235557556,0.2688068747520447,,
,0.0003,23868,,,,
68,,24218,,,0.753600001335144,0.8986620306968689
68,,24218,0.90179842710495,0.27158600091934204,,
,0.0003,24219,,,,
69,,24569,,,0.7537999749183655,0.9358780980110168
69,,24569,0.9068287014961243,0.2618750333786011,,
,0.0003,24570,,,,
70,,24920,,,0.7608000040054321,0.9198203086853027
70,,24920,0.907474160194397,0.25593334436416626,,
,0.0003,24921,,,,
71,,25271,,,0.7495999932289124,0.9377811551094055
71,,25271,0.9076967835426331,0.2559838891029358,,
,0.0003,25272,,,,
72,,25622,,,0.7570000290870667,0.928189754486084
72,,25622,0.9103677272796631,0.2479885369539261,,
,0.0003,25623,,,,
73,,25973,,,0.7526000142097473,0.9358915090560913
73,,25973,0.9111689925193787,0.24413298070430756,,
,0.0003,25974,,,,
74,,26324,,,0.7491999864578247,0.9446682333946228
74,,26324,0.9143741130828857,0.23833134770393372,,
,0.0003,26325,,,,
75,,26675,,,0.7558000087738037,0.9420080780982971
75,,26675,0.9172008633613586,0.2346670925617218,,
,0.0003,26676,,,,
76,,27026,,,0.7554000020027161,0.9806060791015625
76,,27026,0.9186921119689941,0.22537069022655487,,
,0.0003,27027,,,,
77,,27377,,,0.7526000142097473,0.9594310522079468
77,,27377,0.9191818237304688,0.22489842772483826,,
,0.0003,27378,,,,
78,,27728,,,0.7505999803543091,0.9947020411491394
78,,27728,0.9213630557060242,0.21722431480884552,,
,0.0003,27729,,,,
79,,28079,,,0.7534000277519226,0.9783008694648743
79,,28079,0.922208845615387,0.21799710392951965,,
,0.0003,28080,,,,
80,,28430,,,0.758400022983551,0.9691025614738464
80,,28430,0.9238559603691101,0.21530218422412872,,
,0.0003,28431,,,,
81,,28781,,,0.7480000257492065,0.9790996313095093
81,,28781,0.9262152910232544,0.20764435827732086,,
,0.0003,28782,,,,
82,,29132,,,0.7544000148773193,0.9717546105384827
82,,29132,0.9265936613082886,0.2057286649942398,,
,0.0003,29133,,,,
83,,29483,,,0.7549999952316284,0.9732222557067871
83,,29483,0.9260594844818115,0.20473775267601013,,
,0.0003,29484,,,,
84,,29834,,,0.741599977016449,1.0567682981491089
84,,29834,0.9297320246696472,0.19595707952976227,,
,0.0003,29835,,,,
85,,30185,,,0.7526000142097473,1.017759919166565
85,,30185,0.9324697256088257,0.18816758692264557,,
,0.0003,30186,,,,
86,,30536,,,0.7501999735832214,1.0155328512191772
86,,30536,0.930043637752533,0.19380027055740356,,
,0.0003,30537,,,,
87,,30887,,,0.746399998664856,1.0177867412567139
87,,30887,0.9337829351425171,0.18500916659832,,
,0.0003,30888,,,,
88,,31238,,,0.7541999816894531,1.01901376247406
88,,31238,0.9348735809326172,0.18329596519470215,,
,0.0003,31239,,,,
89,,31589,,,0.7512000203132629,1.0385916233062744
89,,31589,0.9348068237304688,0.18094485998153687,,
,0.0003,31590,,,,
90,,31940,,,0.7476000189781189,1.040539026260376
90,,31940,0.9346732497215271,0.1814676970243454,,
,0.0003,31941,,,,
91,,32291,,,0.7554000020027161,1.0248653888702393
91,,32291,0.9387686848640442,0.1750737428665161,,
,0.0003,32292,,,,
92,,32642,,,0.7555999755859375,1.0173747539520264
92,,32642,0.938056468963623,0.17666366696357727,,
,0.0003,32643,,,,
93,,32993,,,0.7572000026702881,1.0085608959197998
93,,32993,0.9375445246696472,0.1724163293838501,,
,0.0003,32994,,,,
94,,33344,,,0.7554000020027161,1.0158658027648926
94,,33344,0.9398593306541443,0.16800899803638458,,
,0.0003,33345,,,,
95,,33695,,,0.758400022983551,0.99648118019104
95,,33695,0.93928062915802,0.16778185963630676,,
,0.0003,33696,,,,
96,,34046,,,0.760200023651123,1.0246957540512085
96,,34046,0.9414619207382202,0.1644599884748459,,
,0.0003,34047,,,,
97,,34397,,,0.7554000020027161,1.0444154739379883
97,,34397,0.9429086446762085,0.1594448983669281,,
,0.0003,34398,,,,
98,,34748,,,0.7588000297546387,1.0485891103744507
98,,34748,0.941417396068573,0.16434744000434875,,
,0.0003,34749,,,,
99,,35099,,,0.7613999843597412,1.014406681060791
99,,35099,0.9451344609260559,0.15654513239860535,,
